721281/1595;2;4
721281/1595;2;2
721281/1595;2;8
721281/1595;2;1
721281/1595;2;3
721281/1595;2;6
721281/1595;2;9
721281/1595;2;5
721281/1595;2;7
721281/1595;2;10
851772/2519;2;14
851772/2519;2;12
851772/2519;2;18
851772/2519;2;11
851772/2519;2;13
851772/2519;2;16
851772/2519;2;19
851772/2519;2;15
851772/2519;2;17
851772/2519;2;20
158810/9548;2;14
158810/9548;2;12
158810/9548;2;18
158810/9548;2;11
158810/9548;2;13
158810/9548;2;16
158810/9548;2;19
158810/9548;2;15
158810/9548;2;17
158810/9548;2;20
226727/2768;2;54
226727/2768;2;52
226727/2768;2;58
226727/2768;2;51
226727/2768;2;53
226727/2768;2;56
226727/2768;2;59
226727/2768;2;55
226727/2768;2;57
226727/2768;2;60
175718/5542;2;124
175718/5542;2;122
175718/5542;2;128
175718/5542;2;121
175718/5542;2;123
175718/5542;2;126
175718/5542;2;129
175718/5542;2;125
175718/5542;2;127
175718/5542;2;130
284665/3499;2;94
284665/3499;2;92
284665/3499;2;98
284665/3499;2;91
284665/3499;2;93
284665/3499;2;96
284665/3499;2;99
284665/3499;2;95
284665/3499;2;97
284665/3499;2;100
387919/5747;2;164
387919/5747;2;162
387919/5747;2;168
387919/5747;2;161
387919/5747;2;163
387919/5747;2;166
387919/5747;2;169
387919/5747;2;165
387919/5747;2;167
387919/5747;2;170
433886/6300;2;174
433886/6300;2;172
433886/6300;2;178
433886/6300;2;171
433886/6300;2;173
433886/6300;2;176
433886/6300;2;179
433886/6300;2;175
433886/6300;2;177
433886/6300;2;180
542668/4466;2;4
542668/4466;2;2
542668/4466;2;8
542668/4466;2;1
542668/4466;2;3
542668/4466;2;6
542668/4466;2;9
542668/4466;2;5
542668/4466;2;7
542668/4466;2;10
833925/2378;2;24
833925/2378;2;22
833925/2378;2;28
833925/2378;2;21
833925/2378;2;23
833925/2378;2;26
833925/2378;2;29
833925/2378;2;25
833925/2378;2;27
833925/2378;2;30
939445/5343;2;14
939445/5343;2;12
939445/5343;2;18
939445/5343;2;11
939445/5343;2;13
939445/5343;2;16
939445/5343;2;19
939445/5343;2;15
939445/5343;2;17
939445/5343;2;20
274859/9096;2;124
274859/9096;2;122
274859/9096;2;128
274859/9096;2;121
274859/9096;2;123
274859/9096;2;126
274859/9096;2;129
274859/9096;2;125
274859/9096;2;127
274859/9096;2;130
603670/1461;2;54
603670/1461;2;52
603670/1461;2;58
603670/1461;2;51
603670/1461;2;53
603670/1461;2;56
603670/1461;2;59
603670/1461;2;55
603670/1461;2;57
603670/1461;2;60
664195/1758;2;134
664195/1758;2;132
664195/1758;2;138
664195/1758;2;131
664195/1758;2;133
664195/1758;2;136
664195/1758;2;139
664195/1758;2;135
664195/1758;2;137
664195/1758;2;140
914037/6620;2;234
914037/6620;2;232
914037/6620;2;238
914037/6620;2;231
914037/6620;2;233
914037/6620;2;236
914037/6620;2;239
914037/6620;2;235
914037/6620;2;237
914037/6620;2;240
104003/5857;2;324
104003/5857;2;322
104003/5857;2;328
104003/5857;2;321
104003/5857;2;323
104003/5857;2;326
104003/5857;2;329
104003/5857;2;325
104003/5857;2;327
